N_EXPEDIENT,DISTRICTE,BARRI,TIPUS_CARRER,CARRER,TIPUS_NUM,NUM1,LLETRA1,NUM2,LLETRA2,BLOC,PORTAL,ESCALA,PIS,PORTA,LONGITUD, LATITUD
10-2008-0631,SANT MARTI,el Camp de l'Arpa del Clot,C,INDEPENDENCIA,1,287,,,,,,,4,1,2.18286578,41.40803773
10-2008-0632,SANT MARTI,el Camp de l'Arpa del Clot,C,INDEPENDENCIA,1,287,,,,,,,1,2,2.18286578,41.40803773
10-2008-0633,SANT MARTI,el Camp de l'Arpa del Clot,C,INDEPENDENCIA,1,287,,,,,,,4,2,2.18286578,41.40803773
06-2008-0301,GRACIA,el Camp d'en Grassot i Gràcia Nova,PTGE,NOGUES,2,26,,,,,,,PR,3,2.16629196,41.40807208
02-2008-0805,L'EIXAMPLE,l'Antiga Esquerra de l'Eixample,C,MUNTANER,2,148,,,,,,,3,,2.15449270,41.39048009
02-2008-1103,L'EIXAMPLE,la Dreta de l'Eixample,C,GIRONA,1,15,,,,,,,PR,1,2.17526300,41.39155797
02-2008-1104,L'EIXAMPLE,la Dreta de l'Eixample,C,GIRONA,1,15,,,,,,,PR,2,2.17526300,41.39155797
02-2008-1212,L'EIXAMPLE,l'Antiga Esquerra de l'Eixample,C,MALLORCA,2,152,,,,,,,PR,2,2.15467059,41.38775534
05-2008-0447,SARRIA-SANT GERVASI,Sarrià,C,MARE DE DEU DE NURIA,1,11,,15,,,,,1,2,2.12419099,41.39853843
02-2008-0965,L'EIXAMPLE,la Dreta de l'Eixample,PG,GRACIA,1,23,,,,,,B,1,2,2.16647233,41.39047480
07-2008-0282,HORTA-GUINARDÓ,el Baix Guinardó,TRAV,GRACIA,1,441,,,,,,,1,3,2.17327333,41.41129170
07-2008-0283,HORTA-GUINARDÓ,el Baix Guinardó,TRAV,GRACIA,1,441,,,,,,,PR,4,2.17327333,41.41129170
10-2008-0458,SANT MARTI,Provençals del Poblenou,RBLA,POBLENOU,1,165,,,,,,,6,1,2.19309221,41.40708958
02-2009-0161,L'EIXAMPLE,la Dreta de l'Eixample,C,ARAGO,1,373,,,,,,,2,2,2.17282715,41.39837373
02-2009-0162,L'EIXAMPLE,la Dreta de l'Eixample,C,ARAGO,1,373,,,,,,,3,2,2.17282715,41.39837373
02-2008-1112,L'EIXAMPLE,la Dreta de l'Eixample,C,ARAGO,2,338,,,,,,,1,3,2.17031182,41.39605356
05-2008-0496,SARRIA-SANT GERVASI,Sant Gervasi - Galvany,C,GANDUXER,2,74,,76,,,,,EN,D,2.13502233,41.39837266
02-2008-1113,L'EIXAMPLE,l'Antiga Esquerra de l'Eixample,C,ROSSELLO,2,114,,,,,,,3,2,2.15123902,41.38858625
02-2008-0849,L'EIXAMPLE,el Fort Pienc,PG,SANT JOAN,2,28,,,,,,,2,2,2.17847372,41.39300963
10-2008-0594,SANT MARTI,el Camp de l'Arpa del Clot,C,ARAGO,1,565,,,,,,,6,1,2.18489446,41.40744147
10-2008-0595,SANT MARTI,el Camp de l'Arpa del Clot,C,ARAGO,1,565,,,,,,,6,2,2.18489446,41.40744147
